NOMINAL_DIAMETER_MM,SCH,NOMINAL_WALL_THICKNESS_MM,LOOKUP_VALUE,LOOKUP_RESULT
20,80,3.912,2080,3.912
20,XS,3.912,20XS,3.912
25,80,4.547,2580,4.547
25,160,6.35,25160,6.35
25,XS,4.547,25XS,4.547
40,80,5.08,4080,5.08
40,160,7.137,40160,7.137
40,XS,5.08,40XS,5.08
50,80,5.537,5080,5.537
50,80S,5.537,5080S,5.537
50,XS,5.537,50XS,5.537
65,40,5.156,6540,5.156
65,80,7.01,6580,7.01
65,XS,7.01,65XS,7.01
80,40,5.486,8040,5.486
80,80,7.62,8080,7.62
80,160,11.125,80160,11.125
80,XS,7.62,80XS,7.62
100,40,6.02,10040,6.02
100,80,8.56,10080,8.56
100,XS,8.56,100XS,8.56
125,80,9.525,12580,9.525
125,XS,9.525,125XS,9.525
150,40,7.112,15040,7.112
150,80,10.973,15080,10.973
150,160,18.263,150160,18.263
150,XS,10.973,150XS,10.973
200,40,8.179,20040,8.179
200,80,12.7,20080,12.7
200,XS,12.7,200XS,12.7
250,20,6.35,25020,6.35
250,80,15.088,25080,15.088
250,XS,12.7,250XS,12.7
300,80,17.45,30080,17.45
300,XS,12.7,300XS,12.7
350,80,19.05,35080,19.05
350,XS,12.7,350XS,12.7
400,80,21.412,40080,21.412
400,XS,12.7,400XS,12.7
450,XS,12.7,450XS,12.7
500,80,26.187,50080,26.187
500,XS,12.7,500XS,12.7
600,XS,12.7,600XS,12.7
